[0.0242  Replica 0000]: Replica 0000 starting up
[2.3537  Replica 0004]: number of log_entries_rcvd_from_leader is 0, so returning true (because heartbeat)
[2.3537  Replica 0004]: sending: {'src': '0004', 'dst': '0000', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'success': True}
[2.3537  Replica 0004]: Received message '{'src': '0000', 'dst': '0004', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'entries': [], 'leaderCommit': 0, 'prevLogIndex': 1, 'prevLogTerm': 1}'
[2.3538  Replica 0002]: &&&&&&&&&& right before if len(log_entries_rcvd_from_leader) == 0, log_entries_rcvd_from_leader: [], message from leader: {'src': '0000', 'dst': '0002', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'entries': [], 'leaderCommit': 0, 'prevLogIndex': 1, 'prevLogTerm': 1}
[2.3538  Replica 0002]: number of log_entries_rcvd_from_leader is 0, so returning true (because heartbeat)
[2.3538  Replica 0002]: sending: {'src': '0002', 'dst': '0000', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'success': True}
[2.3538  Replica 0002]: Received message '{'src': '0000', 'dst': '0002', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'entries': [], 'leaderCommit': 0, 'prevLogIndex': 1, 'prevLogTerm': 1}'
[2.3538  Replica 0003]: &&&&&&&&&& right before if len(log_entries_rcvd_from_leader) == 0, log_entries_rcvd_from_leader: [], message from leader: {'src': '0000', 'dst': '0003', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'entries': [], 'leaderCommit': 0, 'prevLogIndex': 1, 'prevLogTerm': 1}
[2.3538  Replica 0003]: number of log_entries_rcvd_from_leader is 0, so returning true (because heartbeat)
[2.3538  Replica 0003]: sending: {'src': '0003', 'dst': '0000', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'success': True}
[2.3538  Replica 0003]: Received message '{'src': '0000', 'dst': '0003', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'entries': [], 'leaderCommit': 0, 'prevLogIndex': 1, 'prevLogTerm': 1}'
[2.3540  Replica 0000]: Sending following batch of entries: []
[2.3540  Replica 0000]: Sending following batch of entries: []
[2.3540  Replica 0000]: Sending following batch of entries: []
[2.3540  Replica 0000]: Sending following batch of entries: []
[2.3540  Replica 0000]: Received message '{'src': '0001', 'dst': '0000', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'success': True}'
[2.3540  Replica 0000]: Received message '{'src': '0002', 'dst': '0000', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'success': True}'
[2.3541  Replica 0000]: Received message '{'src': '0004', 'dst': '0000', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'success': True}'
[2.3541  Replica 0000]: Received message '{'src': '0003', 'dst': '0000', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'success': True}'
[2.5175  Replica 0001]: &&&&&&&&&& right before if len(log_entries_rcvd_from_leader) == 0, log_entries_rcvd_from_leader: [], message from leader: {'src': '0000', 'dst': '0001', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'entries': [], 'leaderCommit': 0, 'prevLogIndex': 1, 'prevLogTerm': 1}
[2.5175  Replica 0001]: number of log_entries_rcvd_from_leader is 0, so returning true (because heartbeat)
[2.5175  Replica 0001]: sending: {'src': '0001', 'dst': '0000', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'success': True}
[2.5175  Replica 0001]: Received message '{'src': '0000', 'dst': '0001', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'entries': [], 'leaderCommit': 0, 'prevLogIndex': 1, 'prevLogTerm': 1}'
[2.5179  Replica 0004]: &&&&&&&&&& right before if len(log_entries_rcvd_from_leader) == 0, log_entries_rcvd_from_leader: [], message from leader: {'src': '0000', 'dst': '0004', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'entries': [], 'leaderCommit': 0, 'prevLogIndex': 1, 'prevLogTerm': 1}
[2.5179  Replica 0004]: number of log_entries_rcvd_from_leader is 0, so returning true (because heartbeat)
[2.5179  Replica 0004]: sending: {'src': '0004', 'dst': '0000', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'success': True}
[2.5179  Replica 0004]: Received message '{'src': '0000', 'dst': '0004', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'entries': [], 'leaderCommit': 0, 'prevLogIndex': 1, 'prevLogTerm': 1}'
[2.5179  Replica 0002]: &&&&&&&&&& right before if len(log_entries_rcvd_from_leader) == 0, log_entries_rcvd_from_leader: [], message from leader: {'src': '0000', 'dst': '0002', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'entries': [], 'leaderCommit': 0, 'prevLogIndex': 1, 'prevLogTerm': 1}
[2.5179  Replica 0002]: number of log_entries_rcvd_from_leader is 0, so returning true (because heartbeat)
[2.5179  Replica 0002]: sending: {'src': '0002', 'dst': '0000', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'success': True}
[2.5179  Replica 0002]: Received message '{'src': '0000', 'dst': '0002', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'entries': [], 'leaderCommit': 0, 'prevLogIndex': 1, 'prevLogTerm': 1}'
[2.5179  Replica 0003]: &&&&&&&&&& right before if len(log_entries_rcvd_from_leader) == 0, log_entries_rcvd_from_leader: [], message from leader: {'src': '0000', 'dst': '0003', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'entries': [], 'leaderCommit': 0, 'prevLogIndex': 1, 'prevLogTerm': 1}
[2.5179  Replica 0003]: number of log_entries_rcvd_from_leader is 0, so returning true (because heartbeat)
[2.5179  Replica 0003]: sending: {'src': '0003', 'dst': '0000', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'success': True}
[2.5179  Replica 0003]: Received message '{'src': '0000', 'dst': '0003', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'entries': [], 'leaderCommit': 0, 'prevLogIndex': 1, 'prevLogTerm': 1}'
[2.5181  Replica 0000]: Sending following batch of entries: []
[2.5181  Replica 0000]: Sending following batch of entries: []
[2.5181  Replica 0000]: Sending following batch of entries: []
[2.5181  Replica 0000]: Sending following batch of entries: []
[2.5181  Replica 0000]: Received message '{'src': '0001', 'dst': '0000', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'success': True}'
[2.5183  Replica 0000]: Received message '{'src': '0004', 'dst': '0000', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'success': True}'
[2.5184  Replica 0000]: Received message '{'src': '0002', 'dst': '0000', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'success': True}'
[2.5184  Replica 0000]: Received message '{'src': '0003', 'dst': '0000', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'success': True}'
[2.6806  Replica 0001]: &&&&&&&&&& right before if len(log_entries_rcvd_from_leader) == 0, log_entries_rcvd_from_leader: [], message from leader: {'src': '0000', 'dst': '0001', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'entries': [], 'leaderCommit': 0, 'prevLogIndex': 1, 'prevLogTerm': 1}
[2.6806  Replica 0001]: number of log_entries_rcvd_from_leader is 0, so returning true (because heartbeat)
[2.6806  Replica 0001]: sending: {'src': '0001', 'dst': '0000', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'success': True}
[2.6806  Replica 0001]: Received message '{'src': '0000', 'dst': '0001', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'entries': [], 'leaderCommit': 0, 'prevLogIndex': 1, 'prevLogTerm': 1}'
[2.6811  Replica 0002]: &&&&&&&&&& right before if len(log_entries_rcvd_from_leader) == 0, log_entries_rcvd_from_leader: [], message from leader: {'src': '0000', 'dst': '0002', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'entries': [], 'leaderCommit': 0, 'prevLogIndex': 1, 'prevLogTerm': 1}
[2.6811  Replica 0002]: number of log_entries_rcvd_from_leader is 0, so returning true (because heartbeat)
[2.6811  Replica 0002]: sending: {'src': '0002', 'dst': '0000', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'success': True}
[2.6811  Replica 0002]: Received message '{'src': '0000', 'dst': '0002', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'entries': [], 'leaderCommit': 0, 'prevLogIndex': 1, 'prevLogTerm': 1}'
[2.6811  Replica 0004]: &&&&&&&&&& right before if len(log_entries_rcvd_from_leader) == 0, log_entries_rcvd_from_leader: [], message from leader: {'src': '0000', 'dst': '0004', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'entries': [], 'leaderCommit': 0, 'prevLogIndex': 1, 'prevLogTerm': 1}
[2.6811  Replica 0004]: number of log_entries_rcvd_from_leader is 0, so returning true (because heartbeat)
[2.6811  Replica 0004]: sending: {'src': '0004', 'dst': '0000', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'success': True}
[2.6811  Replica 0004]: Received message '{'src': '0000', 'dst': '0004', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'entries': [], 'leaderCommit': 0, 'prevLogIndex': 1, 'prevLogTerm': 1}'
[2.6813  Replica 0003]: &&&&&&&&&& right before if len(log_entries_rcvd_from_leader) == 0, log_entries_rcvd_from_leader: [], message from leader: {'src': '0000', 'dst': '0003', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'entries': [], 'leaderCommit': 0, 'prevLogIndex': 1, 'prevLogTerm': 1}
[2.6813  Replica 0003]: number of log_entries_rcvd_from_leader is 0, so returning true (because heartbeat)
[2.6813  Replica 0003]: sending: {'src': '0003', 'dst': '0000', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'success': True}
[2.6813  Replica 0003]: Received message '{'src': '0000', 'dst': '0003', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'entries': [], 'leaderCommit': 0, 'prevLogIndex': 1, 'prevLogTerm': 1}'
[2.6816  Replica 0000]: Sending following batch of entries: []
[2.6816  Replica 0000]: Sending following batch of entries: []
[2.6816  Replica 0000]: Sending following batch of entries: []
[2.6816  Replica 0000]: Sending following batch of entries: []
[2.6816  Replica 0000]: Received message '{'src': '0001', 'dst': '0000', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'success': True}'
[2.6816  Replica 0000]: Received message '{'src': '0002', 'dst': '0000', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'success': True}'
[2.6818  Replica 0000]: Received message '{'src': '0004', 'dst': '0000', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'success': True}'
[2.6818  Replica 0000]: Received message '{'src': '0003', 'dst': '0000', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'success': True}'
[2.8443  Replica 0001]: &&&&&&&&&& right before if len(log_entries_rcvd_from_leader) == 0, log_entries_rcvd_from_leader: [], message from leader: {'src': '0000', 'dst': '0001', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'entries': [], 'leaderCommit': 0, 'prevLogIndex': 1, 'prevLogTerm': 1}
[2.8443  Replica 0001]: number of log_entries_rcvd_from_leader is 0, so returning true (because heartbeat)
[2.8443  Replica 0001]: sending: {'src': '0001', 'dst': '0000', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'success': True}
[2.8443  Replica 0001]: Received message '{'src': '0000', 'dst': '0001', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'entries': [], 'leaderCommit': 0, 'prevLogIndex': 1, 'prevLogTerm': 1}'
[2.8472  Replica 0002]: &&&&&&&&&& right before if len(log_entries_rcvd_from_leader) == 0, log_entries_rcvd_from_leader: [], message from leader: {'src': '0000', 'dst': '0002', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'entries': [], 'leaderCommit': 0, 'prevLogIndex': 1, 'prevLogTerm': 1}
[2.8472  Replica 0002]: number of log_entries_rcvd_from_leader is 0, so returning true (because heartbeat)
[2.8472  Replica 0002]: sending: {'src': '0002', 'dst': '0000', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'success': True}
[2.8472  Replica 0002]: Received message '{'src': '0000', 'dst': '0002', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'entries': [], 'leaderCommit': 0, 'prevLogIndex': 1, 'prevLogTerm': 1}'
[2.8476  Replica 0004]: &&&&&&&&&& right before if len(log_entries_rcvd_from_leader) == 0, log_entries_rcvd_from_leader: [], message from leader: {'src': '0000', 'dst': '0004', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'entries': [], 'leaderCommit': 0, 'prevLogIndex': 1, 'prevLogTerm': 1}
[2.8476  Replica 0004]: number of log_entries_rcvd_from_leader is 0, so returning true (because heartbeat)
[2.8476  Replica 0004]: sending: {'src': '0004', 'dst': '0000', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'success': True}
[2.8476  Replica 0004]: Received message '{'src': '0000', 'dst': '0004', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'entries': [], 'leaderCommit': 0, 'prevLogIndex': 1, 'prevLogTerm': 1}'
[2.8476  Replica 0000]: Sending following batch of entries: []
[2.8476  Replica 0000]: Sending following batch of entries: []
[2.8476  Replica 0000]: Sending following batch of entries: []
[2.8476  Replica 0000]: Sending following batch of entries: []
[2.8476  Replica 0000]: Received message '{'src': '0001', 'dst': '0000', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'success': True}'
[2.8478  Replica 0003]: &&&&&&&&&& right before if len(log_entries_rcvd_from_leader) == 0, log_entries_rcvd_from_leader: [], message from leader: {'src': '0000', 'dst': '0003', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'entries': [], 'leaderCommit': 0, 'prevLogIndex': 1, 'prevLogTerm': 1}
[2.8478  Replica 0003]: number of log_entries_rcvd_from_leader is 0, so returning true (because heartbeat)
[2.8478  Replica 0003]: sending: {'src': '0003', 'dst': '0000', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'success': True}
[2.8478  Replica 0003]: Received message '{'src': '0000', 'dst': '0003', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'entries': [], 'leaderCommit': 0, 'prevLogIndex': 1, 'prevLogTerm': 1}'
[2.8478  Replica 0000]: Received message '{'src': '0004', 'dst': '0000', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'success': True}'
[2.8480  Replica 0000]: Received message '{'src': '0002', 'dst': '0000', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'success': True}'
[2.8480  Replica 0000]: Received message '{'src': '0003', 'dst': '0000', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'success': True}'
[3.0120  Replica 0001]: &&&&&&&&&& right before if len(log_entries_rcvd_from_leader) == 0, log_entries_rcvd_from_leader: [], message from leader: {'src': '0000', 'dst': '0001', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'entries': [], 'leaderCommit': 0, 'prevLogIndex': 1, 'prevLogTerm': 1}
[3.0120  Replica 0001]: number of log_entries_rcvd_from_leader is 0, so returning true (because heartbeat)
[3.0120  Replica 0001]: sending: {'src': '0001', 'dst': '0000', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'success': True}
[3.0120  Replica 0001]: Received message '{'src': '0000', 'dst': '0001', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'entries': [], 'leaderCommit': 0, 'prevLogIndex': 1, 'prevLogTerm': 1}'
[3.0135  Replica 0002]: &&&&&&&&&& right before if len(log_entries_rcvd_from_leader) == 0, log_entries_rcvd_from_leader: [], message from leader: {'src': '0000', 'dst': '0002', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'entries': [], 'leaderCommit': 0, 'prevLogIndex': 1, 'prevLogTerm': 1}
[3.0135  Replica 0002]: number of log_entries_rcvd_from_leader is 0, so returning true (because heartbeat)
[3.0136  Replica 0002]: sending: {'src': '0002', 'dst': '0000', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'success': True}
[3.0136  Replica 0002]: Received message '{'src': '0000', 'dst': '0002', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'entries': [], 'leaderCommit': 0, 'prevLogIndex': 1, 'prevLogTerm': 1}'
[3.0138  Replica 0004]: &&&&&&&&&& right before if len(log_entries_rcvd_from_leader) == 0, log_entries_rcvd_from_leader: [], message from leader: {'src': '0000', 'dst': '0004', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'entries': [], 'leaderCommit': 0, 'prevLogIndex': 1, 'prevLogTerm': 1}
[3.0138  Replica 0004]: number of log_entries_rcvd_from_leader is 0, so returning true (because heartbeat)
[3.0138  Replica 0004]: sending: {'src': '0004', 'dst': '0000', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'success': True}
[3.0138  Replica 0004]: Received message '{'src': '0000', 'dst': '0004', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'entries': [], 'leaderCommit': 0, 'prevLogIndex': 1, 'prevLogTerm': 1}'
[3.0138  Replica 0000]: Sending following batch of entries: []
[3.0138  Replica 0000]: Sending following batch of entries: []
[3.0138  Replica 0000]: Sending following batch of entries: []
[3.0138  Replica 0000]: Sending following batch of entries: []
[3.0138  Replica 0000]: Received message '{'src': '0001', 'dst': '0000', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'success': True}'
[3.0138  Replica 0000]: Received message '{'src': '0002', 'dst': '0000', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'success': True}'
[3.0139  Replica 0003]: &&&&&&&&&& right before if len(log_entries_rcvd_from_leader) == 0, log_entries_rcvd_from_leader: [], message from leader: {'src': '0000', 'dst': '0003', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'entries': [], 'leaderCommit': 0, 'prevLogIndex': 1, 'prevLogTerm': 1}
[3.0139  Replica 0003]: number of log_entries_rcvd_from_leader is 0, so returning true (because heartbeat)
[3.0139  Replica 0003]: sending: {'src': '0003', 'dst': '0000', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'success': True}
[3.0139  Replica 0003]: Received message '{'src': '0000', 'dst': '0003', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'entries': [], 'leaderCommit': 0, 'prevLogIndex': 1, 'prevLogTerm': 1}'
[3.0139  Replica 0000]: Received message '{'src': '0004', 'dst': '0000', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'success': True}'
[3.0140  Replica 0000]: Received message '{'src': '0003', 'dst': '0000', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'success': True}'
[3.1780  Replica 0001]: &&&&&&&&&& right before if len(log_entries_rcvd_from_leader) == 0, log_entries_rcvd_from_leader: [], message from leader: {'src': '0000', 'dst': '0001', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'entries': [], 'leaderCommit': 0, 'prevLogIndex': 1, 'prevLogTerm': 1}
[3.1780  Replica 0001]: number of log_entries_rcvd_from_leader is 0, so returning true (because heartbeat)
[3.1780  Replica 0001]: sending: {'src': '0001', 'dst': '0000', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'success': True}
[3.1780  Replica 0001]: Received message '{'src': '0000', 'dst': '0001', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'entries': [], 'leaderCommit': 0, 'prevLogIndex': 1, 'prevLogTerm': 1}'
[3.1783  Replica 0004]: &&&&&&&&&& right before if len(log_entries_rcvd_from_leader) == 0, log_entries_rcvd_from_leader: [], message from leader: {'src': '0000', 'dst': '0004', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'entries': [], 'leaderCommit': 0, 'prevLogIndex': 1, 'prevLogTerm': 1}
[3.1783  Replica 0004]: number of log_entries_rcvd_from_leader is 0, so returning true (because heartbeat)
[3.1783  Replica 0004]: sending: {'src': '0004', 'dst': '0000', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'success': True}
[3.1783  Replica 0004]: Received message '{'src': '0000', 'dst': '0004', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'entries': [], 'leaderCommit': 0, 'prevLogIndex': 1, 'prevLogTerm': 1}'
[3.1786  Replica 0002]: &&&&&&&&&& right before if len(log_entries_rcvd_from_leader) == 0, log_entries_rcvd_from_leader: [], message from leader: {'src': '0000', 'dst': '0002', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'entries': [], 'leaderCommit': 0, 'prevLogIndex': 1, 'prevLogTerm': 1}
[3.1786  Replica 0002]: number of log_entries_rcvd_from_leader is 0, so returning true (because heartbeat)
[3.1786  Replica 0002]: sending: {'src': '0002', 'dst': '0000', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'success': True}
[3.1786  Replica 0002]: Received message '{'src': '0000', 'dst': '0002', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'entries': [], 'leaderCommit': 0, 'prevLogIndex': 1, 'prevLogTerm': 1}'
[3.1789  Replica 0003]: &&&&&&&&&& right before if len(log_entries_rcvd_from_leader) == 0, log_entries_rcvd_from_leader: [], message from leader: {'src': '0000', 'dst': '0003', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'entries': [], 'leaderCommit': 0, 'prevLogIndex': 1, 'prevLogTerm': 1}
[3.1789  Replica 0003]: number of log_entries_rcvd_from_leader is 0, so returning true (because heartbeat)
[3.1789  Replica 0003]: sending: {'src': '0003', 'dst': '0000', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'success': True}
[3.1789  Replica 0003]: Received message '{'src': '0000', 'dst': '0003', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'entries': [], 'leaderCommit': 0, 'prevLogIndex': 1, 'prevLogTerm': 1}'
[3.1793  Replica 0000]: Sending following batch of entries: []
[3.1793  Replica 0000]: Sending following batch of entries: []
[3.1793  Replica 0000]: Sending following batch of entries: []
[3.1793  Replica 0000]: Sending following batch of entries: []
[3.1793  Replica 0000]: Received message '{'src': '0001', 'dst': '0000', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'success': True}'
[3.1793  Replica 0000]: Received message '{'src': '0002', 'dst': '0000', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'success': True}'
[3.1796  Replica 0000]: Received message '{'src': '0004', 'dst': '0000', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'success': True}'
[3.1796  Replica 0000]: Received message '{'src': '0003', 'dst': '0000', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'success': True}'
[3.3457  Replica 0001]: &&&&&&&&&& right before if len(log_entries_rcvd_from_leader) == 0, log_entries_rcvd_from_leader: [], message from leader: {'src': '0000', 'dst': '0001', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'entries': [], 'leaderCommit': 0, 'prevLogIndex': 1, 'prevLogTerm': 1}
[3.3457  Replica 0001]: number of log_entries_rcvd_from_leader is 0, so returning true (because heartbeat)
[3.3457  Replica 0001]: sending: {'src': '0001', 'dst': '0000', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'success': True}
[3.3457  Replica 0001]: Received message '{'src': '0000', 'dst': '0001', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'entries': [], 'leaderCommit': 0, 'prevLogIndex': 1, 'prevLogTerm': 1}'
[3.3461  Replica 0004]: &&&&&&&&&& right before if len(log_entries_rcvd_from_leader) == 0, log_entries_rcvd_from_leader: [], message from leader: {'src': '0000', 'dst': '0004', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'entries': [], 'leaderCommit': 0, 'prevLogIndex': 1, 'prevLogTerm': 1}
[3.3461  Replica 0004]: number of log_entries_rcvd_from_leader is 0, so returning true (because heartbeat)
[3.3461  Replica 0004]: sending: {'src': '0004', 'dst': '0000', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'success': True}
[3.3461  Replica 0004]: Received message '{'src': '0000', 'dst': '0004', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'entries': [], 'leaderCommit': 0, 'prevLogIndex': 1, 'prevLogTerm': 1}'
[3.3463  Replica 0002]: &&&&&&&&&& right before if len(log_entries_rcvd_from_leader) == 0, log_entries_rcvd_from_leader: [], message from leader: {'src': '0000', 'dst': '0002', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'entries': [], 'leaderCommit': 0, 'prevLogIndex': 1, 'prevLogTerm': 1}
[3.3464  Replica 0002]: number of log_entries_rcvd_from_leader is 0, so returning true (because heartbeat)
[3.3464  Replica 0002]: sending: {'src': '0002', 'dst': '0000', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'success': True}
[3.3464  Replica 0002]: Received message '{'src': '0000', 'dst': '0002', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'entries': [], 'leaderCommit': 0, 'prevLogIndex': 1, 'prevLogTerm': 1}'
[3.3464  Replica 0000]: Sending following batch of entries: []
[3.3464  Replica 0000]: Sending following batch of entries: []
[3.3464  Replica 0000]: Sending following batch of entries: []
[3.3464  Replica 0000]: Sending following batch of entries: []
[3.3464  Replica 0000]: Received message '{'src': '0001', 'dst': '0000', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'success': True}'
[3.3493  Replica 0003]: &&&&&&&&&& right before if len(log_entries_rcvd_from_leader) == 0, log_entries_rcvd_from_leader: [], message from leader: {'src': '0000', 'dst': '0003', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'entries': [], 'leaderCommit': 0, 'prevLogIndex': 1, 'prevLogTerm': 1}
[3.3493  Replica 0003]: number of log_entries_rcvd_from_leader is 0, so returning true (because heartbeat)
[3.3493  Replica 0003]: sending: {'src': '0003', 'dst': '0000', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'success': True}
[3.3493  Replica 0003]: Received message '{'src': '0000', 'dst': '0003', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'entries': [], 'leaderCommit': 0, 'prevLogIndex': 1, 'prevLogTerm': 1}'
[3.3495  Replica 0000]: Received message '{'src': '0002', 'dst': '0000', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'success': True}'
[3.3495  Replica 0000]: Received message '{'src': '0003', 'dst': '0000', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'success': True}'
[3.3496  Replica 0000]: Received message '{'src': '0004', 'dst': '0000', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'success': True}'
[3.5100  Replica 0001]: &&&&&&&&&& right before if len(log_entries_rcvd_from_leader) == 0, log_entries_rcvd_from_leader: [], message from leader: {'src': '0000', 'dst': '0001', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'entries': [], 'leaderCommit': 0, 'prevLogIndex': 1, 'prevLogTerm': 1}
[3.5100  Replica 0001]: number of log_entries_rcvd_from_leader is 0, so returning true (because heartbeat)
[3.5100  Replica 0001]: sending: {'src': '0001', 'dst': '0000', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'success': True}
[3.5100  Replica 0001]: Received message '{'src': '0000', 'dst': '0001', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'entries': [], 'leaderCommit': 0, 'prevLogIndex': 1, 'prevLogTerm': 1}'
[3.5102  Replica 0004]: &&&&&&&&&& right before if len(log_entries_rcvd_from_leader) == 0, log_entries_rcvd_from_leader: [], message from leader: {'src': '0000', 'dst': '0004', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'entries': [], 'leaderCommit': 0, 'prevLogIndex': 1, 'prevLogTerm': 1}
[3.5103  Replica 0004]: number of log_entries_rcvd_from_leader is 0, so returning true (because heartbeat)
[3.5103  Replica 0004]: sending: {'src': '0004', 'dst': '0000', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'success': True}
[3.5103  Replica 0004]: Received message '{'src': '0000', 'dst': '0004', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'entries': [], 'leaderCommit': 0, 'prevLogIndex': 1, 'prevLogTerm': 1}'
[3.5105  Replica 0002]: &&&&&&&&&& right before if len(log_entries_rcvd_from_leader) == 0, log_entries_rcvd_from_leader: [], message from leader: {'src': '0000', 'dst': '0002', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'entries': [], 'leaderCommit': 0, 'prevLogIndex': 1, 'prevLogTerm': 1}
[3.5105  Replica 0002]: number of log_entries_rcvd_from_leader is 0, so returning true (because heartbeat)
[3.5105  Replica 0002]: sending: {'src': '0002', 'dst': '0000', 'type': 'append_entries', 'leader': '0000', 'term': 1, 'success': True}
